0 0.000000 0.000000
1 -0.000000 0.000000
2 -0.000000 0.000001
3 -0.000000 0.000001
4 -0.000000 0.000002
5 -0.000000 0.000002
6 -0.000000 0.000002
7 -0.000000 0.000003
8 -0.000000 0.000003
9 -0.000000 0.000004
10 -0.000000 0.000004
11 -0.000000 0.000004
12 -0.000000 0.000005
13 -0.000000 0.000005
14 -0.000000 0.000006
15 -0.000000 0.000006
16 -0.000000 0.000006
17 -0.000000 0.000007
18 -0.000000 0.000007
19 -0.000000 0.000008
20 -0.000000 0.000008
21 -0.000000 0.000009
22 -0.000000 0.000009
23 -0.000000 0.000009
24 -0.000000 0.000010
25 -0.000000 0.000010
26 -0.000000 0.000011
27 -0.000000 0.000011
28 -0.000000 0.000012
29 -0.000001 0.000012
30 -0.000001 0.000013
31 -0.000001 0.000013
32 -0.000001 0.000014
33 -0.000001 0.000014
34 -0.000001 0.000014
35 -0.000001 0.000015
36 -0.000001 0.000016
37 -0.000001 0.000016
38 -0.000001 0.000017
39 -0.000001 0.000017
40 -0.000001 0.000018
41 -0.000001 0.000018
42 -0.000001 0.000019
43 -0.000001 0.000019
44 -0.000001 0.000020
45 -0.000001 0.000021
46 -0.000001 0.000021
47 -0.000002 0.000022
48 -0.000002 0.000022
49 -0.000002 0.000023
50 -0.000002 0.000024
51 -0.000002 0.000025
52 -0.000002 0.000025
53 -0.000002 0.000026
54 -0.000002 0.000027
55 -0.000002 0.000028
56 -0.000002 0.000028
57 -0.000003 0.000029
58 -0.000003 0.000030
59 -0.000003 0.000031
60 -0.000003 0.000032
61 -0.000003 0.000033
62 -0.000003 0.000034
63 -0.000003 0.000035
64 -0.000003 0.000036
65 -0.000004 0.000037
66 -0.000004 0.000039
67 -0.000004 0.000040
68 -0.000004 0.000041
69 -0.000004 0.000043
70 -0.000005 0.000044
71 -0.000005 0.000046
72 -0.000005 0.000047
73 -0.000005 0.000049
74 -0.000006 0.000051
75 -0.000006 0.000053
76 -0.000006 0.000055
77 -0.000007 0.000058
78 -0.000007 0.000060
79 -0.000008 0.000063
80 -0.000008 0.000066
81 -0.000008 0.000070
82 -0.000009 0.000073
83 -0.000010 0.000078
84 -0.000010 0.000082
85 -0.000011 0.000087
86 -0.000012 0.000093
87 -0.000013 0.000100
88 -0.000014 0.000108
89 -0.000016 0.000117
